Screaming Circuits SMD component position file.

Centroid Data for pc board: "LEMSv2.brd" as of: 8/24/16 1:44 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BT1,Top,0.260,1.030,90
C2,Top,1.100,1.205,90
C3,Top,0.075,1.795,90
C4,Top,0.185,2.155,270
C5,Top,0.860,1.400,0
C6,Top,0.860,1.500,0
C7,Top,0.395,1.725,270
C8,Top,0.595,1.725,270
DS1,Top,2.925,0.225,0
DS2,Top,3.170,2.450,180
FB1,Top,0.495,1.725,270
FID1,Top,3.200,0.075,0
FID2,Top,0.100,0.500,0
FID3,Top,3.200,2.825,0
JP1,Top,0.365,2.010,180
LED1,Top,2.225,2.190,90
LED2,Top,2.225,2.010,90
Q1,Top,0.835,2.055,90
Q2,Top,0.835,2.275,90
Q3,Top,2.945,2.450,270
Q4,Top,2.670,2.450,0
Q5,Top,2.325,2.450,270
Q6,Top,1.150,0.665,270
Q7,Top,1.540,0.785,180
Q8,Top,1.865,2.190,270
Q9,Top,1.865,2.010,270
Q10,Top,1.140,2.080,180
R1,Top,1.100,1.010,270
R2,Top,0.860,1.705,270
R3,Top,1.000,1.705,270
R4,Top,0.830,1.945,0
R5,Top,0.830,2.165,0
R6,Top,2.560,2.450,90
R7,Top,2.210,2.450,90
R8,Top,0.985,0.665,0
R9,Top,2.445,2.450,90
R10,Top,2.830,2.450,90
R11,Top,1.540,0.905,0
R12,Top,2.720,0.150,90
R13,Top,1.540,0.670,180
R15,Top,2.050,2.190,180
R16,Top,2.050,2.010,180
R17,Top,1.700,2.190,0
R18,Top,1.700,2.010,0
R19,Top,0.500,2.050,180
R20,Top,1.140,2.195,180
R21,Top,1.140,1.960,180
R22,Top,2.590,0.150,270
R23,Top,2.150,0.990,0
R24,Top,2.150,1.740,0
U1,Top,2.800,1.375,90
U2,Top,0.800,1.125,90
U3,Top,0.225,1.795,180
U4,Top,0.710,1.450,180
U5,Top,0.495,1.900,270
